"Name","NameK","SGG","X16_hazard","X17_hazard","X18_hazard"
"Gyeonggi Gimpo-si","경기도 김포시",41570,0.928289015836288,0.930636949235241,0.924999959493574
"Gyeonggi Namyangju-si","경기도 남양주시",41360,0.821079780997462,0.804812734206919,0.798331393586801
"Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.680769032027469,0.672484724754982,0.796226322147788
"Gyeonggi Bucheon-si","경기도 부천시",41190,0.696577580880708,0.603550690883373,0.606109168754183
"Gyeonggi Seongnam-si","경기도 성남시",41130,0.751853526548859,0.749651122987274,0.747733854268587
"Gyeonggi Suwon-si","경기도 수원시",41110,0.698224505550481,0.714782259324107,0.712090059730484
"Gyeonggi Siheung-si","경기도 시흥시",41390,0.651760459095978,0.571777125536181,0.573814122037264
"Gyeonggi Ansan-si","경기도 안산시",41270,0.673354512341737,0.649707708057082,0.64888076055236
"Gyeonggi Anseong-si","경기도 안성시",41550,0.548142881238571,0.54351472647285,0.54106816819757
"Gyeonggi Anyang-si","경기도 안양시",41170,0.737526074642692,0.740335607739809,0.738211309463731
"Gyeonggi Yangju-si","경기도 양주시",41630,0.868187721787829,0.824206363291082,0.828406126849073
"Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.712788425187104,0.730257854125147,0.720088396995903
"Gyeonggi Yeoju-si","경기도 여주시",41670,0.692908123388869,0.676395420293987,0.677946482803027
"Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.671946441403832,0.666821473482494,0.797304323506714
"Gyeonggi Osan-si","경기도 오산시",41370,0.698224505550481,0.714782259324107,0.712090059730484
"Gyeonggi Yongin-si","경기도 용인시",41460,0.700239269189679,0.696846370341846,0.697575199250138
"Gyeonggi Uiwang-si","경기도 의왕시",41430,0.698224505550481,0.714782259324107,0.712090059730484
"Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.874988484459189,0.82971180611635,0.829573818302103
"Gyeonggi Icheon-si","경기도 이천시",41500,0.702909063295411,0.673079252345207,0.678341337755982
"Gyeonggi Paju-si","경기도 파주시",41480,0.919475780274468,0.915493945437592,0.924465363181521
"Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.632734485715155,0.64915568075652,0.645029316284224
"Gyeonggi Pocheon-si","경기도 포천시",41650,0.696320710339753,0.685074323378152,0.798896546501145
"Gyeonggi Hanam-si","경기도 하남시",41450,0.842978591894965,0.814927243275755,0.811022701413095
