"","Name","NameK","SGG","X16_result","X17_result"
"50","Gyeongnam Geoje-si","경상남도 거제시",48310,0.627503559569872,0.634800010376149
"51","Gyeongnam Geochang-gun","경상남도 거창군",48880,0.511620582294975,0.492623473953734
"52","Gyeongnam Goseong-gun","경상남도 고성군",48820,0.55265379676833,0.55885000156489
"53","Gyeongnam Gimhae-si","경상남도 김해시",48250,0.54542785768248,0.549963045002477
"54","Gyeongnam Namhae-gun","경상남도 남해군",48840,0.685126700695769,0.683875667095097
"55","Gyeongnam Miryang-si","경상남도 밀양시",48270,0.55761140122235,0.562711500627252
"56","Gyeongnam Sacheon-si","경상남도 사천시",48240,0.58875906247423,0.589979627450908
"57","Gyeongnam Sancheong-gun","경상남도 산청군",48860,0.644378546001797,0.636764011831898
"58","Gyeongnam Yangsan-si","경상남도 양산시",48330,0.555627870116608,0.55485697320485
"59","Gyeongnam Uiryeong-gun","경상남도 의령군",48720,0.510442818725691,0.514324220023863
"60","Gyeongnam Jinju-si","경상남도 진주시",48170,0.579974205134955,0.574025675228693
"61","Gyeongnam Changnyeong-gun","경상남도 창녕군",48740,0.606654158114918,0.601637985893582
"62","Gyeongnam Changwon-si","경상남도 창원시",48120,0.531126915304571,0.52619041129575
"63","Gyeongnam Tongyeong-si","경상남도 통영시",48220,0.556609554294511,0.546081773465841
"64","Gyeongnam Hadong-gun","경상남도 하동군",48850,0.624376993987323,0.620448325002697
"65","Gyeongnam Haman-gun","경상남도 함안군",48730,0.503290821193272,0.541219979789034
"66","Gyeongnam Hamyang-gun","경상남도 함양군",48870,0.618864369653373,0.617108487062456
